_id,id,geom,type,reported_location,locality,state,direction_of_travel,paved,toilet,lighting,shelter,water,bin,Table_or_Chair,comments,road_name,name,bbq,shade,power,disabled_toilet,off_the_road,waste_water,covered_table_or_Chair,BBQ
28709,1139,"{""type"":""Point"",""coordinates"":[146.9514229,-41.80286309]}",Formal,,West of Poatina turn-off,TAS,Westbound,,N,,,,N,N,,Poatina Main Rd,,N,,,,,,,
28710,1153,"{""type"":""Point"",""coordinates"":[146.8205508,-42.0279146]}",Formal,,Poatina Main Rd Junction,TAS,Southbound,,N,,,,N,N,,Lake Secondary Rd,,N,,,,,,,
28711,1232,"{""type"":""Point"",""coordinates"":[147.3909648,-42.27841468]}",Formal,,St Peter's Pass,TAS,Southbound,,N,,,,N,N,,Midland Highway,,N,,,,,,,
28712,1578,"{""type"":""Point"",""coordinates"":[147.4670706,-41.88425058]}",Formal,,Campbell Town Weighbridge,TAS,Southbound,,N,,,,N,N,,Midland Highway,,N,,,,,,,
28713,1759,"{""type"":""Point"",""coordinates"":[147.49,-42.83151033]}",Formal,,Airport,TAS,Eastbound,,N,,,,N,N,,Tasman Highway,,N,,,,,,,
28714,1923,"{""type"":""Point"",""coordinates"":[147.1547737,-42.97702051]}",Formal,,Vinces Saddle,TAS,Southbound,,N,,,,N,N,,Huon Highway,,N,,,,,,,
28715,2105,"{""type"":""Point"",""coordinates"":[147.1572753,-42.9758283]}",Formal,,Vinces Saddle,TAS,Northbound,,N,,,,N,N,,Huon Highway,,N,,,,,,,
28716,2281,"{""type"":""Point"",""coordinates"":[147.3099817,-42.947096]}",Formal,,Near Kingston,TAS,Northbound,,N,,,,N,N,,Southern Outlet Hwy,,N,,,,,,,
28717,4092,"{""type"":""Point"",""coordinates"":[133.6869,-21.75834]}",Formal,,,NT,,,N,,N,N,Y,N,STIRLING SANDHILLS RHS SDA,,ALLWRIGHT,N,,,,,,,
28718,4093,"{""type"":""Point"",""coordinates"":[133.1828,-24.73858]}",Formal,,,NT,,,N,,N,N,Y,N,PALMER RIVER BRIDGE RHS USA,,PALMER RIVER BRIDGE,N,,,,,,,
28719,4096,"{""type"":""Point"",""coordinates"":[133.1948,-24.953]}",Formal,,,NT,,,N,,N,N,Y,N,PRP207 LHS SDA,,MARTIN,N,,,,,,,
28720,4098,"{""type"":""Point"",""coordinates"":[137.92485,-22.27444]}",Formal,,,NT,,,,,Y,,Y,Y,RHS STA TRUCK PARKING,,TRUCK PARKING BAY,N,,,,,,,
28721,4099,"{""type"":""Point"",""coordinates"":[134.013432,-22.600273]}",Formal,,,NT,,,N,,N,N,Y,N,AMANDAS RHS USA,,AMANDAS,N,,,,,,,
28722,4105,"{""type"":""Point"",""coordinates"":[133.4161,-22.12967]}",Formal,,,NT,,,N,,Y,N,Y,N,RHS STA,,TI-TREE,N,,,,,,,
28723,4107,"{""type"":""Point"",""coordinates"":[133.19227,-25.36404]}",Formal,,,NT,,,,,N,,N,N,TPB CH 1709.70 LHS UDA,,DICK ROGERS LHS,N,,,,,,,
28724,4111,"{""type"":""Point"",""coordinates"":[133.19994,-25.99244]}",Formal,,,NT,,,,,N,,N,N,TBP CH1784.98 RHS SDA,,TRUCK PARKING CH1784,N,,,,,,,
28725,4112,"{""type"":""Point"",""coordinates"":[133.7147,-23.1497]}",Formal,,,NT,,,,,N,,N,N,2KM SOUTH OF PLENTY LHS STA,,IVAN WIESE,N,,,,,,,
28726,4113,"{""type"":""Point"",""coordinates"":[133.69123,-23.97771]}",Formal,,,NT,,,,,N,,N,N,4KM NORTH OF ORANGE LHS STA,,MCCONVILLE,N,,,,,,,
28727,4114,"{""type"":""Point"",""coordinates"":[133.43086,-24.28751]}",Formal,,,NT,,,,,N,,N,N,7KM SOUTH OF JAMES RHS STA,,EWEN CLOUGH,N,,,,,,,
28728,4115,"{""type"":""Point"",""coordinates"":[133.4208,-24.37242]}",Formal,,,NT,,,,,N,,N,N,SEALED DUAL ACCESS,,CANNONBALL MEMORIAL,N,,,,,,,
28729,4116,"{""type"":""Point"",""coordinates"":[133.3301,-24.45612]}",Formal,,,NT,,,,,N,,N,N,37KM NORTH OF PALMER RHS STA,,37KM NORTH OF PALMER,N,,,,,,,
28730,4118,"{""type"":""Point"",""coordinates"":[133.2026,-25.20121]}",Formal,,,NT,,,,,N,,N,N,LASSERTER HIGHWAY LHS UDA,,LASSERTER HIGHWAY T/,N,,,,,,,
28731,4119,"{""type"":""Point"",""coordinates"":[133.192529,-25.359558]}",Formal,,,NT,,,,,N,,N,N,76KM NORTH OF SA/NT RHS STA,,DICK ROGERS RHS,N,,,,,,,
28732,4120,"{""type"":""Point"",""coordinates"":[133.2231,-25.65188]}",Formal,,,NT,,,,,N,,N,N,43KM NORTH OF SA/NT LHS SDA,,ALEX WARNE,N,,,,,,,
28733,4122,"{""type"":""Point"",""coordinates"":[133.255,-25.90396]}",Formal,,,NT,,,,,N,,N,N,12KM NORTH OF SA/NT RHS STA,,FRANK FIDLER,N,,,,,,,
28734,4123,"{""type"":""Point"",""coordinates"":[133.4347446,-22.82459642]}",Formal,,,NT,,,,,N,,N,N,LHS STA,,SOUTH NATIVE GAP,N,,,,,,,
28735,4124,"{""type"":""Point"",""coordinates"":[133.40165,-24.38996]}",Formal,,,NT,,,,,N,,N,N,ORANGE CREEK CH1591KM LHS STA,,LEN TUIT,N,,,,,,,
28736,4126,"{""type"":""Point"",""coordinates"":[133.753068,-21.61093653]}",Formal,,,NT,,,,,N,,N,N,STIRLING LHS STA,,STIRLING,N,,,,,,,
28737,4127,"{""type"":""Point"",""coordinates"":[135.13548,-22.92151]}",Formal,,,NT,,,,,N,,N,N,LHS STA TRUCK PARKING,,TRUCK PARKING BAY,N,,,,,,,
28738,4128,"{""type"":""Point"",""coordinates"":[133.19924,-25.19946]}",Formal,,,NT,,,N,,N,N,N,N,LHS USA SHELL SERVO INF,,SHELL SERVO INFORMAL,N,,,,,,,
28739,4130,"{""type"":""Point"",""coordinates"":[132.77723,-25.22346]}",Formal,,,NT,,,,,N,,N,N,LHS STA OLD HARDSTAND,,OLD HARDSTAND,N,,,,,,,
28740,4131,"{""type"":""Point"",""coordinates"":[132.20089,-25.1759]}",Formal,,,NT,,,,,N,,N,N,RHS STA TRUCK PARKING,,TRUCK PARKING BAY,N,,,,,,,
28741,4132,"{""type"":""Point"",""coordinates"":[132.8529287,-23.19820959]}",Formal,,,NT,,,,,N,,N,N,LHS STA TRUCK PARKING,,TRUCK PARKING BAY,N,,,,,,,
28742,4138,"{""type"":""Point"",""coordinates"":[131.5575128,-22.203336]}",Formal,,,NT,,,,,N,,N,N,LHS USA,,VAUGHAN SPRINGS,N,,,,,,,
28743,4139,"{""type"":""Point"",""coordinates"":[131.291803,-21.980043]}",Formal,,,NT,,,,,N,,N,N,LHS USA,,MOYLE'S BORE,N,,,,,,,
28744,4140,"{""type"":""Point"",""coordinates"":[131.314653,-22.029069]}",Formal,,,NT,,,,,N,,N,N,RHS UDA,,CH403,N,,,,,,,
28745,4141,"{""type"":""Point"",""coordinates"":[130.519852,-20.76052]}",Formal,,,NT,,,,,N,,N,N,RHS USA,,CH403,N,,,,,,,
28746,4143,"{""type"":""Point"",""coordinates"":[129.699629,-19.959086]}",Formal,,,NT,,,,,N,,N,N,LHSUDA,,LAJAMANU REST AREA,N,,,,,,,
28747,4285,"{""type"":""Point"",""coordinates"":[130.9714,-12.45942]}",Formal,,,NT,,,N,,N,N,Y,N,SEALED SINGLE ACCESS,,BP PALMS ROADHOUSE,N,,,,,,,
28748,4286,"{""type"":""Point"",""coordinates"":[131.6291,-13.62986]}",Formal,,,NT,,,N,,N,N,Y,N,EMERALD SPRINGS ROADHOUSE LHS,,EMERALD SPRINGS,N,,,,,,,
28749,4288,"{""type"":""Point"",""coordinates"":[131.2467,-12.60712]}",Formal,,,NT,,,N,,N,N,Y,N,LHS SDA EX QUARANTINE STOP,,EX QUARANTINE STOP,N,,,,,,,
28750,4290,"{""type"":""Point"",""coordinates"":[131.62956,-12.907421]}",Formal,,,NT,,,N,,N,N,N,N,2KM WEST OF MARY RIVER,,2KM WEST OF MARY RIV,N,,,,,,,
28751,4291,"{""type"":""Point"",""coordinates"":[131.7764,-12.85622]}",Formal,,,NT,,,N,,N,N,Y,N,RHS UDA 5KM W OF POINT ST,,5KM WEST OF POINT ST,N,,,,,,,
28752,4292,"{""type"":""Point"",""coordinates"":[131.9387,-12.83361]}",Formal,,,NT,,,N,,N,N,Y,N,RHS UDA 15KM E OF POINT ST,,15KM EAST OF POINT S,N,,,,,,,
28753,4293,"{""type"":""Point"",""coordinates"":[132.111,-12.81517]}",Formal,,,NT,,,N,,N,N,N,N,RHS UDA 10KM E OF WILDMAN,,10KM EAST OF WILDMAN,N,,,,,,,
28754,4297,"{""type"":""Point"",""coordinates"":[131.0418,-12.52283]}",Formal,,,NT,,,N,,N,N,N,N,SEALED SINGLE ACCESS,,COOLALINGA ROADHOUSE,N,,,,,,,
28755,4298,"{""type"":""Point"",""coordinates"":[132.2177,-12.78258]}",Formal,,,NT,,,N,,N,N,N,N,RHS UDA 5KM E OF WEST ALL,,5KM EAST OF WEST ALL,N,,,,,,,
28756,4299,"{""type"":""Point"",""coordinates"":[132.345,-12.73737]}",Formal,,,NT,,,Y,,N,N,N,N,RHS UDA KAKADU RANGER STATION,,KAKADU RANGER STATIO,N,,,,,,,
28757,4300,"{""type"":""Point"",""coordinates"":[132.6108,-12.63401]}",Formal,,,NT,,,N,,N,N,N,N,RHS UDA 10KM E OF STH ALLIGATO,,10KM EAST OF SOUTH A,N,,,,,,,
28758,4301,"{""type"":""Point"",""coordinates"":[132.7577,-12.65157]}",Formal,,,NT,,,N,,N,N,N,N,RHS UDA PRP22 DIST 7-15,,PRP 22 DIST 7-15,N,,,,,,,
28759,4302,"{""type"":""Point"",""coordinates"":[131.82649,-13.81733]}",Formal,,,NT,,,,,N,,N,N,GANDYS GULLY RD RHS SSA,,PINE CREEK RHS,N,,,,,,,
28760,4303,"{""type"":""Point"",""coordinates"":[131.0736,-12.63296]}",Formal,,,NT,,,,,N,,N,N,NOONAMAH ROADHOUSE LHS SSA,,NOONAMAH ROADHOUSE,N,,,,,,,
28761,4304,"{""type"":""Point"",""coordinates"":[132.4782,-12.67509]}",Formal,,,NT,,,,,N,,N,N,RHS SDA 3KM W OF STH ALLIGATOR,,3KM WEST OF STH ALLI,N,,,,,,,
28762,4307,"{""type"":""Point"",""coordinates"":[131.14242,-12.85977]}",Formal,,,NT,,,N,,N,N,Y,N,3KM SOUTH MANTON BRIDGE,,LITCHFIELD,N,,,,,,,
28763,4312,"{""type"":""Point"",""coordinates"":[131.10585,-13.23928]}",Formal,,,NT,,,N,,N,N,N,N,ADELAIDE RIVER ROADHOUSE LHS,,ADELAIDE RIVER,N,,,,,,,
28764,4314,"{""type"":""Point"",""coordinates"":[131.6291,-13.62986]}",Formal,,,NT,,,N,,N,N,N,N,EMERALD SPRINGS ROADHOUSE RHS,,EMERALD SPRINGS,N,,,,,,,
28765,4316,"{""type"":""Point"",""coordinates"":[131.82649,-13.81733]}",Formal,,,NT,,,,,N,,N,N,GANDYS GULLY RD LHS SSA,,VINE CREEK LHS,N,,,,,,,
28766,4317,"{""type"":""Point"",""coordinates"":[131.0736,-12.63296]}",Formal,,,NT,,,,,N,,N,N,NOONAMAH ROADHOUSE RHS SSA,,NOONAMAH ROADHOUSE,N,,,,,,,
28767,4319,"{""type"":""Point"",""coordinates"":[131.077097,-12.655618]}",Formal,,,NT,,,N,,N,N,N,N,STRAUSS HERITAGE RHS SLS,,STRAUSS HERITAGE,N,,,,,,,
28768,4320,"{""type"":""Point"",""coordinates"":[130.939669,-12.477073]}",Formal,,,NT,,,,,N,,N,N,TRUCK CENTRAL HARDSTAND,,TRUCK CENTRAL,N,,,,,,,
28769,4326,"{""type"":""Point"",""coordinates"":[131.103473,-13.237639]}",Formal,,,NT,,,N,,N,N,Y,N,ADELAIDE RIVER ROADHOUSE RHS,,ADELAIDE RIVER,N,,,,,,,
28770,4337,"{""type"":""Point"",""coordinates"":[131.2752,-13.39978]}",Formal,,,NT,,,N,,N,N,Y,N,SEALED DOUBLE ACCESS,,WEAVERS CUT NORTH,N,,,,,,,
28771,4345,"{""type"":""Point"",""coordinates"":[131.2787,-13.40206]}",Formal,,,NT,,,N,,N,N,Y,N,SEALED DOUBLE ACCESS,,WEAVERS CUT SOUTH,N,,,,,,,
28772,4826,"{""type"":""Point"",""coordinates"":[131.98944,-14.09355]}",Formal,,,NT,,,N,,N,N,Y,N,3KM STH FERGUSSON BGE LHS SSA,,ALAN ROSS NORTH,N,,,,,,,
28773,4827,"{""type"":""Point"",""coordinates"":[133.4367,-17.00356]}",Formal,,,NT,,,N,,N,N,Y,N,9KM STH OF CHARLES LHS SDA,,SID HAWKS,N,,,,,,,
28774,4828,"{""type"":""Point"",""coordinates"":[131.907766,-13.96620475]}",Formal,,,NT,,,,,N,,N,N,RHS USA,,TRUCK PARKING BAY,N,,,,,,,
28775,4829,"{""type"":""Point"",""coordinates"":[133.3846967,-16.30069376]}",Formal,,,NT,,,,,N,,N,N,CARPENTARIA T/O RHS SDA,,DALY WATERS,N,,,,,,,
28776,4830,"{""type"":""Point"",""coordinates"":[135.7272605,-16.6822735]}",Formal,,,NT,,,,,N,,N,N,CAPE CRAWFORD,,CAPE CRAWFORD,N,,,,,,,
28777,4831,"{""type"":""Point"",""coordinates"":[132.25758,-14.48276]}",Formal,,,NT,,,N,,N,N,Y,N,RIVERVIEW VAN PARK LHS SSA,,RIVERVIEW,N,,,,,,,
28778,4832,"{""type"":""Point"",""coordinates"":[132.15868,-14.58956]}",Formal,,,NT,,,N,,N,N,Y,N,MANBULLOO RHS SDA,,MANBULLOO,N,,,,,,,
28779,4833,"{""type"":""Point"",""coordinates"":[132.0651,-14.71158]}",Formal,,,NT,,,N,,N,N,Y,N,KING RIVER RHS SDA,,KING RIVER,N,,,,,,,
28780,4834,"{""type"":""Point"",""coordinates"":[131.5708,-15.30142]}",Formal,,,NT,,,N,,N,N,Y,N,BUNTINE COMMERATIVE PLAQUE,,BUNTINE HWY MEMORIAL,N,,,,,,,
28781,4835,"{""type"":""Point"",""coordinates"":[131.4037,-15.46805]}",Formal,,,NT,,,N,,N,N,Y,N,INNESVALE BOTH SIDES SEALED,,PECKHAM,N,,,,,,,
28782,4836,"{""type"":""Point"",""coordinates"":[132.26627,-14.46763]}",Formal,,,NT,,,N,,N,N,N,N,KATHERINE TRUCK BAY LHS SSA,,KATHERINE ROADHOUSE,N,,,,,,,
28783,4837,"{""type"":""Point"",""coordinates"":[130.8994,-15.62192]}",Formal,,,NT,,,N,,N,N,Y,N,FITZROY RIVERRHS SSA,,DOUG FOSTER,N,,,,,,,
28784,4838,"{""type"":""Point"",""coordinates"":[129.5121,-15.98628]}",Formal,,,NT,,,N,,N,N,Y,N,SADDLE CREEK RHS SSA,,BRUCE PEPPERILL,N,,,,,,,
28785,4839,"{""type"":""Point"",""coordinates"":[129.11047,-16.05836]}",Formal,,,NT,,,N,,N,N,Y,N,DUNCAN HWY WHISTLE RHS USA,,DUNCAN HWY WHISTLE,N,,,,,,,
28786,4840,"{""type"":""Point"",""coordinates"":[129.0249,-15.98889]}",Formal,,,NT,,,N,,N,N,Y,N,NT/WA BORDER RHS SSA,,NT/WA BORDER,N,,,,,,,
28787,4841,"{""type"":""Point"",""coordinates"":[131.6433,-15.42311]}",Formal,,,NT,,,N,,N,N,N,N,TRUCK BAY,,16KM FROM THE VICTOR,N,,,,,,,
28788,4842,"{""type"":""Point"",""coordinates"":[131.686157,-15.658568]}",Formal,,,NT,,,N,,N,N,Y,N,EAGLE BAY,,6KM SOUTH OF THE DEL,N,,,,,,,
28789,4843,"{""type"":""Point"",""coordinates"":[131.7768,-15.75926]}",Formal,,,NT,,,N,,N,N,Y,N,TRUCK BAY,,62 MILE BORE,N,,,,,,,
28790,4844,"{""type"":""Point"",""coordinates"":[131.9812,-16.14231]}",Formal,,,NT,,,N,,N,N,N,N,TRUCK BAY,,5KM STH OF PRP 9,N,,,,,,,
28791,4845,"{""type"":""Point"",""coordinates"":[131.5792,-16.78705]}",Formal,,,NT,,,N,,N,N,Y,N,TRUCK BAY,,1KM STH OF PRP 17,N,,,,,,,
28792,4846,"{""type"":""Point"",""coordinates"":[131.4068,-16.99397]}",Formal,,,NT,,,N,,N,N,Y,N,GRAVEL,,5KM NTH OF PRP 19,N,,,,,,,
28793,4847,"{""type"":""Point"",""coordinates"":[131.3016,-17.03051]}",Formal,,,NT,,,N,,N,N,Y,N,GRAVEL,,CAMFIELD RIVER,N,,,,,,,
28794,4848,"{""type"":""Point"",""coordinates"":[131.1319,-17.27348]}",Formal,,,NT,,,N,,N,N,Y,N,TRUCK BAY,,WAVE HILL / VRD BOUN,N,,,,,,,
28795,4849,"{""type"":""Point"",""coordinates"":[133.5517,-16.30074]}",Formal,,,NT,,,N,,N,N,Y,N,LHS USA GRAVEL,,2KM WEST OF PRP 2,N,,,,,,,
28796,4850,"{""type"":""Point"",""coordinates"":[133.7116,-16.29844]}",Formal,,,NT,,,N,,N,N,Y,N,RHS USA GRAVEL,,13KM EAST OF PRP 3,N,,,,,,,
28797,4851,"{""type"":""Point"",""coordinates"":[133.8689,-16.33634]}",Formal,,,NT,,,N,,N,N,N,N,LHS USA GRAVEL 4KM W OF PRP4,,4KM WEST OF PRP 4,N,,,,,,,
28798,4852,"{""type"":""Point"",""coordinates"":[132.9538,-14.82682]}",Formal,,,NT,,,N,,N,N,Y,N,MATARANKA STATION LHS SSA,,MATARANKA STATION,N,,,,,,,
28799,4853,"{""type"":""Point"",""coordinates"":[133.9704,-16.36006]}",Formal,,,NT,,,N,,N,N,Y,N,RHS USA GRAVEL,,PRP 4 DIST 3-9,N,,,,,,,
28800,4854,"{""type"":""Point"",""coordinates"":[134.126738,-16.423349]}",Formal,,,NT,,,N,,N,N,Y,N,LHS USA GRAVEL,,AMUNGEE MUNGEE T/O,N,,,,,,,
28801,4855,"{""type"":""Point"",""coordinates"":[134.2936,-16.47622]}",Formal,,,NT,,,N,,N,N,Y,N,RHS USA GRAVEL,,PRP 6,N,,,,,,,
28802,4856,"{""type"":""Point"",""coordinates"":[134.489,-16.48975]}",Formal,,,NT,,,N,,N,N,Y,N,RHS USA GRAVEL,,13KM EAST OF TANUMBI,N,,,,,,,
28803,4857,"{""type"":""Point"",""coordinates"":[134.6438,-16.49011]}",Formal,,,NT,,,N,,N,N,Y,N,LHS USA GRAVEL,,2KM WEST OF TANUMBIR,N,,,,,,,
28804,4858,"{""type"":""Point"",""coordinates"":[134.75778,-16.57055]}",Formal,,,NT,,,N,,N,N,Y,N,LHS USA GRAVEL,,PRP 8 DIST 16-76,N,,,,,,,
28805,4859,"{""type"":""Point"",""coordinates"":[134.892,-16.66829]}",Formal,,,NT,,,N,,N,N,Y,N,RHS USA GRAVEL,,5KM EAST OF OCTOBER,N,,,,,,,
28806,4860,"{""type"":""Point"",""coordinates"":[135.0019,-16.74537]}",Formal,,,NT,,,N,,N,N,Y,N,RHS USA GRAVEL,,24KM WEST OF BROADME,N,,,,,,,
28807,4861,"{""type"":""Point"",""coordinates"":[135.1482,-16.73607]}",Formal,,,NT,,,N,,N,N,Y,N,RHS USA GRAVEL,,7KM WEST OF BROADMER,N,,,,,,,
28808,4862,"{""type"":""Point"",""coordinates"":[135.2974,-16.72692]}",Formal,,,NT,,,N,,N,N,Y,N,RHS USA GRAVEL,,9KM EAST OF BROADMER,N,,,,,,,
28809,4863,"{""type"":""Point"",""coordinates"":[135.4321,-16.71114]}",Formal,,,NT,,,N,,N,N,Y,N,GRAVEL,,2KM WEST OF PRP 14,N,,,,,,,
28810,4864,"{""type"":""Point"",""coordinates"":[135.6028,-16.69737]}",Formal,,,NT,,,N,,N,N,Y,N,RHS USA GRAVEL,,4KM WEST OF LITTLE R,N,,,,,,,
28811,4865,"{""type"":""Point"",""coordinates"":[133.1518,-15.0063]}",Formal,,,NT,,,N,,N,N,Y,N,LHS USA GRAVEL,,8KM EAST OF STUART H,N,,,,,,,
28812,4866,"{""type"":""Point"",""coordinates"":[133.201,-15.02367]}",Formal,,,NT,,,N,,N,N,N,N,4KM WEST OF PRP 3,,4KM EAST OF PRP 3,N,,,,,,,
28813,4867,"{""type"":""Point"",""coordinates"":[133.2834,-15.00185]}",Formal,,,NT,,,N,,N,N,Y,N,LHS USA GRAVEL,,PRP 3 DIST 12-57,N,,,,,,,
28814,4868,"{""type"":""Point"",""coordinates"":[133.4246,-14.99193]}",Formal,,,NT,,,N,,N,Y,Y,N,10KM EAST OF ELSEY RHS SSA,,ELSEY,N,,,,,,,
28815,4869,"{""type"":""Point"",""coordinates"":[133.6536202,-14.91506294]}",Formal,,,NT,,,N,,N,Y,Y,N,RELOCATEDFROMCH56KM RHS SSA,,MCCRACKEN,N,,,,,,,
28816,4870,"{""type"":""Point"",""coordinates"":[133.8000907,-14.89856269]}",Formal,,,NT,,,N,,N,Y,Y,N,MAYHEY CREEK RHS SSA,,FARRARR,N,,,,,,,
28817,4871,"{""type"":""Point"",""coordinates"":[132.608,-14.6297]}",Formal,,,NT,,,N,,N,N,Y,N,KING RIVER 2KM BEFO LHS SSA,,KING RIVER NORTH,N,,,,,,,
28818,4872,"{""type"":""Point"",""coordinates"":[132.6463,-14.6526]}",Formal,,,NT,,,N,,N,N,N,N,2KM NORTH OF CENTRAL RHS SSA,,KING RIVER SOUTH,N,,,,,,,
28819,4873,"{""type"":""Point"",""coordinates"":[133.0668,-14.92299]}",Formal,,,NT,,,,,N,,N,N,ELSEY STREET MATARANKA LHS SSA,,MATARANKA ROADHOUSE,N,,,,,,,
28820,4874,"{""type"":""Point"",""coordinates"":[133.3883,-16.45866]}",Formal,,,NT,,,N,,N,N,N,N,RHS SSA,,DINGO HILL RHS,N,,,,,,,
28821,4875,"{""type"":""Point"",""coordinates"":[133.4113,-16.67848]}",Formal,,,NT,,,,,N,,N,N,LHS SDA,,DUNMARRA ROADHOUSE,N,,,,,,,
28822,4876,"{""type"":""Point"",""coordinates"":[133.4416,-17.03214]}",Formal,,,NT,,,N,,N,N,N,N,9KM STH OF CHARLES RHS SSA,,ALLAN HODSDON,N,,,,,,,
28823,4877,"{""type"":""Point"",""coordinates"":[133.3882,-16.45781]}",Formal,,,NT,,,N,,Y,N,Y,Y,LHS SSA,,DINGO HILL LHS,Y,,,,,,,
